word,phoneme,short_def,vi,hint_level
nonhairy,/ˌnɑːnˈgriːk/,not having hair,không có lông,1
nonharmonic,/ˌnɑːnˈgriːk/,a music term,không điều hòa,1
nonhereditary,/ˌnɑːnˈgriːk/,not able to be handed down,không di truyền,1
nonheritable,/ˌnɑːnˈgriːk/,not able to be handed down,không thể kế thừa,1
nonhierarchic,/ˌnɑːnˈgriːk/,not put in a class order,không phân cấp,1
nonhierarchical,/ˌnɑːnˈgriːk/,not put in a class order,không có thứ bậc,1
nonhuman,/nɑːnˈhjuːmən/,not a human being,phi nhân loại,1
nonimitative,/ˈnɑːni/,not being able to copy,không bắt chước,1
nonimmune,/ˈnɑːni/,being likely to be affected,không miễn dịch,1
nonindulgent,/ˈnɑːni/,being strict,không nuông chiều,1
nonindustrial,/ˈnɑːni/,not manufacturing,không công nghiệp,1
noninfectious,/ˈnɑːni/,a medical term,không lây nhiễm,1
noninflammatory,/ˈnɑːni/,a medical term,không viêm,1
noninheritable,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being able to pass down,không thể kế thừa,1
noninstitutional,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being part of a system,phi thể chế,1
noninstitutionalised,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being kept in a place,phi thể chế hóa,1
noninstitutionalized,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being kept in a place,phi thể chế hóa,1
nonintegrated,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being taken into a whole,không tích hợp,1
nonintellectual,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,not being smart,phi trí tuệ,1
noninterchangeable,/ˌnɑːnɪnˈfleɪʃəˌnɛri/,a language term,không thể hoán đổi cho nhau,1
nonintersecting,/ˌnɑːˌnɪntɝˈfɪrəns/,a math term,không cắt nhau,1
noninvasive,/ˌnɑːˌnɪntɝˈvɛnʃən/,done without cutting the body,không xâm lấn,1
nonionic,/ˌnɑːˌnɪntɝˈvɛnʃən/,a science term,không ion,1
nonionised,/ˌnɑːˌnɪntɝˈvɛnʃən/,a science term,không ion hóa,1
nonionized,/ˌnɑːˌnɪntɝˈvɛnʃən/,a science term,không ion hóa,1
nonjudgmental,/ˈnɑːnˈdʒɛts/,tending not to judge others,không phán xét,1
nonkosher,/ˈnɑːnˈdʒɛts/,not following diet laws,không tuân theo luật ăn kiêng,1
nonleaded,/ˈnɑːnˈdʒɛts/,a term used for gas,không chì,1
nonlegal,/ˈnɑːnˈdʒɛts/,not being regulated,không hợp pháp,1
nonlethal,/nɑːnˈliːθəl/,not being able to cause death,không gây chết người,1
nonlinear,/nɑːnˈlɪˌniːɝ/,a math term,phi tuyến tính,1
nonlinguistic,/nɑːnˈlɪˌniːɝ/,not related to language,phi ngôn ngữ,1
nonliteral,/nɑːnˈlɪˌniːɝ/,using figures of speech,không theo nghĩa đen,1
nonliterary,/nɑːnˈlɪˌniːɝ/,not showing high learning,phi văn chương,1
nonliterate,/nɑːnˈlɪˌniːɝ/,having no writing,không biết chữ,1
nonliving,/nɑːnləˈtɝːdʒɪkəl/,not having life,không sống,1
nonmagnetic,/nɑːnləˈtɝːdʒɪkəl/,a science term,không từ tính,1
nonmeaningful,/ˌnɑːnˌmænjəˈfæktʃɝɪŋ/,having no purpose,vô nghĩa,1
nonmechanical,/ˌnɑːnˌmænjəˈfæktʃɝɪŋ/,not being made by machines,phi cơ học,1
nonmechanistic,/ˌnɑːnˌmænjəˈfæktʃɝɪŋ/,not able to work with machines,phi máy móc,1
nonmedicinal,/ˌnɑːnˌmænjəˈfæktʃɝɪŋ/,not having an effect,không dùng thuốc,1
nonmetallic,/nɑːnˈmɛmbɝz/,not having metal properties,phi kim,1
nonmetamorphic,/nɑːnˈmɛmbɝz/,a science term,không biến chất,1
nonmigratory,/nɑːnˈmɛmbɝz/,not moving from place to place,không di cư,1
nonmilitary,/nɑːnˈmɪləˌtɛri/,not connected to soldiers,phi quân sự,1
nonmodern,/nɑːnˈmɪləˌtɛri/,being of an earlier time,phi hiện đại,1
nonmonotonic,/nɑːnˈmɪləˌtɛri/,not being,không đơn điệu,1
nonmotile,/nɑːnˈmɪləˌtɛri/,not being able to move,bất động,1
nonmoving,/nɑːnˈmɪləˌtɛri/,not being in motion,không di chuyển,1
nonmusical,/nɑːnˈmɪləˌtɛri/,lacking interest in music,phi âm nhạc,1
nonnative,/ˈnɑːˈneɪtɪv/,not being the original peoples,không tự nhiên,1
nonnatural,/ˈnɑːˈneɪtɪvz/,existing outside of nature,phi tự nhiên,1
nonnegative,/ˈnɑːˈneɪtɪvz/,being either positive or zero,không phủ định,1
nonnomadic,/ˈnɑːnɪməkɝ/,not moving or wandering,không du cư,1
nonnormative,/ˈnɑːnɪməkɝ/,not based on a usual thing,không quy chuẩn,1
nonobjective,/ˈnɑːˈnuːˌkliːɝ/,not representing reality,không khách quan,1
nonobligatory,/ˈnɑːˈnuːˌkliːɝ/,not being required by law,không bắt buộc,1
nonobservant,/ˈnɑːˈnuːˌkliːɝ/,not practicing religious customs,không quan sát,1
nonopening,/ˈnɑːˈnuːˌkliːɝ/,keeping closed,không mở,1
nonoperational,/ˈnɑːˈnɔpɝˌeɪtɪŋ/,not being part of the military,không hoạt động,1
nonoscillatory,/ˈnɑːˈnɔpɝˌeɪtɪŋ/,not having movements,không dao động,1
nonparallel,/ˌnɑːnˈpæsɪfɪsts/,relating to a kind of performance,không song song,1
nonparametric,/ˌnɑːnˈpæsɪfɪsts/,a data term,phi tham số,1
nonparasitic,/ˌnɑːnˈpæsɪfɪsts/,a science term,không ký sinh trùng,1
nonparticulate,/ˌnɑːnˈpæsɪfɪsts/,not being made of small matter,không hạt,1
nonpartisan,/nɑːnˈpɑːrtəzən/,not supporting any groups,phi đảng phái,1
nonpasserine,/nɑːnˈpɑːrtəzən/,relating to a kind of bird,liên quan đến một loại chim,1
nonperiodic,/nɑːnpɝˈfɔrmɪŋ/,not happening regularly,không tuần hoàn,1
nonphotosynthetic,/nɑːnpɝˈfɔrmɪŋ/,a plant term,không quang hợp,1
nonphysical,/nɑːnpɝˈfɔrmɪŋ/,lacking reality,phi vật chất,1
nonplussed,/nɑːnˈplʌst/,extremely surprised,non nớt,1
nonpoisonous,/nɑːnˈpɔɪzənəs/,being safe to eat,không độc hại,1
nonpolar,/nɑːnˈpɔɪzənəs/,a science term,không phân cực,1
nonpolitical,/ˌnɑːnpəˈlɪtɪkəl/,not political not influenced by or interested in political issues,phi chính trị,1
nonporous,/ˌnɑːnpəˈlɪtɪkəl/,a science term,không xốp,1
nonpregnant,/ˌnɑːnpəˈlɪtɪkəl/,not having a baby inside,không mang thai,1
nonprehensile,/ˌnɑːnpəˈlɪtɪkəl/,being able to hold,không thể hiểu được,1
nonprescription,/ˌnɑːnprəˈskrɪpʃən/,possible to buy with no order,không theo đơn,1
nonproductive,/ˌnɑːnprəˈdʌktɪv/,not directly making,phi sản xuất,1
nonprofessional,/ˌnɑːnprəˈfɛʃənəl/,not having a special job,không chuyên nghiệp,1
nonprofit,/nɑːnˈprɑːfət/,not done for making a profit,phi lợi nhuận,1
nonprognosticative,/ˈnɑːnˈprɑːfɪts/,not giving ideas for the future,không tiên lượng,1
nonprogressive,/ˈnɑːnˈprɑːfɪts/,being out of date,không tiến bộ,1
nonproprietary,/nɑːnprəˌlɪfɝˈeɪʃən/,not being protected,phi sở hữu,1
nonprotractile,/nɑːnprəˌlɪfɝˈeɪʃən/,being able to be stretched out,không bền,1
nonpsychoactive,/nɑːnprəˌlɪfɝˈeɪʃən/,not affecting the mind,không hoạt động,1
nonpublic,/nɑːnˈpʌblɪk/,of a known position,không công khai,1
nonpurulent,/nɑːnˈpʌblɪk/,a medical term,không sinh mủ,1
nonracial,/nɑːnˈreɪʃəl/,having nothing to do with race,phi chủng tộc,1
nonracist,/nɑːnˈreɪʃəl/,not hating a race,không phân biệt chủng tộc,1
nonradioactive,/nɑːnˈreɪʃəl/,a science term,không phóng xạ,1
nonrandom,/nɑːnˈreɪʃəl/,not being by chance,không ngẫu nhiên,1
nonrational,/nɑːnˈreɪʃəl/,not gotten through reasoning,phi lý,1
nonreciprocal,/nɑːnˈreɪʃəl/,not exchanging,không đối ứng,1
nonreciprocating,/nɑːnˈreɪʃəl/,not moving back and forth,không có đi có lại,1
nonrecreational,/nɑːnˈreɪʃəl/,involving a job,phi giải trí,1
nonreflecting,/nɑːnrɪˈkɝːɪŋ/,a science term,không phản chiếu,1
nonreflective,/nɑːnrɪˈkɝːɪŋ/,a science term,không phản quang,1
nonrenewable,/nɑːnriːˈnuːəbəl/,not able to grow again,không tái tạo được,1
nonrepetitive,/nɑːnriːˈnuːəbəl/,not doing over and over,không lặp đi lặp lại,1
nonrepresentational,/nɑːnriːˈnuːəbəl/,relating to a style of art,không đại diện,1
nonrepresentative,/nɑːnriːˈnuːəbəl/,not standing for something,không đại diện,1
nonresidential,/ˌnɑːnˌrɛzəˈdɛnʃəl/,not made for people to live in,phi dân cư,1
nonresilient,/nɑːnˈrɛzədənts/,not being flexible,không kiên cường,1
nonresinous,/nɑːnˈrɛzədənts/,not having a substance,không dẻo,1
nonresiny,/nɑːnˈrɛzədənts/,not having a substance,không dẻo,1
nonresistant,/nɑːnˈrɛzədənts/,not struggling against,không kháng cự,1
nonresonant,/nɑːnˈrɛzədənts/,lacking a tendency to repeat,không cộng hưởng,1
nonrestrictive,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",giving extra detail,không giới hạn,1
nonreticulate,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",not forming a network,không có lưới,1
nonretractable,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",not being able to be taken back,không thể thu vào,1
nonretractile,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",not being able to be taken back,không co rút được,1
nonreturnable,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",not to be returned,không thể trả lại,1
nonreversible,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",not being able to use both sides,không thể đảo ngược,1
nonrhythmic,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",a music term,không nhịp điệu,1
nonrigid,"/nɑːnrɪˈstrɪktɪd/, /nɑːnriːˈstrɪktɪd/",an aircraft term,không cứng nhắc,1
nonruminant,/nɑːnˈruːlɪŋ/,not having many stomachs,không nhai lại,1
nonsectarian,/ˌnɑːnsɛkˈtɛriːən/,not being restricted to one,không giáo phái,1
nonsegmental,/ˌnɑːnsɛkˈtɛriːən/,not being divided,không phân đoạn,1
nonsegregated,/ˌnɑːnsɛkˈtɛriːən/,being rid of separating races,không phân biệt,1
nonsensical,/nɑːnˈsɛnsɪkəl/,very foolish,vô nghĩa,2
nonsensitive,/nɑːnˈsɛnsɪkəl/,having no security measure,không nhạy cảm,1
nonsexual,/nɑːnˈsɛnsɪkəl/,not involving sex,phi giới tính,1
nonsignificant,/nɑːnˈsɛnsɪkəl/,happening by chance,không đáng kể,1
nonskid,/nɑːnˈsɛnsɪkəl/,made to prevent slipping,chống trượt,1
nonslip,/nɑːnˈsɛnsɪkəl/,made to prevent slipping,chống trượt,1
nonslippery,/nɑːnˈsɛnsɪkəl/,not causing one to slip,không trơn trượt,1
nonsocial,/ˈnɑːnˈsmoʊkɪŋ/,not growing or living in groups,phi xã hội,1
nonsovereign,/ˈnɑːnˈsmoʊkɪŋ/,being managed by outside forces,không có chủ quyền,1
nonspatial,/ˈnɑːnˈsmoʊkɪŋ/,not relating to space,phi không gian,1
nonspeaking,/ˈnɑːnˈsmoʊkɪŋ/,not involving speech,không nói,1
nonspecific,/ˌnɑːnspəˈsɪfɪk/,not clearly understood,không đặc hiệu,1
nonspherical,/ˌnɑːnspəˈsɪfɪk/,not having curves,không hình cầu,1
nonstandard,/nɑːnˈstændɝd/,not used by most speakers,phi tiêu chuẩn,1
nonsteroidal,/nɑːnˈstɑːrtɝz/,a science term,không steroid,1
nonstick,/nɑːnˈstɪk/,allowing food to be removed,không dính,1
nonstop,/ˌnɑːnˈstɑːp/,not stopping,không ngừng,2
nonstructural,/nɑːnstrəˈtiːdʒɪk/,not having a shape,phi công trình,1
nonsubjective,/nɑːnstrəˈtiːdʒɪk/,not being changed by emotion,không chủ quan,1
nonsubmergible,/nɑːnstrəˈtiːdʒɪk/,not being able to be under water,không chìm,1
nonsubmersible,/nɑːnstrəˈtiːdʒɪk/,not being able to be under water,không chìm,1
nonsuppurative,/nɑːnstrəˈtiːdʒɪk/,a medical term,không mưng mủ,1
nonsurgical,/nɑːnˈsɝːdʒɪkəl/,a medical term,không phẫu thuật,1
nonsweet,/nɑːnˈsɝːdʒɪkəl/,not having sugar,không ngọt,1
nonsyllabic,/nɑːnˈsɝːdʒɪkəl/,a language term,không âm tiết,1
nonsymbiotic,/nɑːnˈsɝːdʒɪkəl/,a science term,không cộng sinh,1
nonsynchronous,/nɑːnˈsɝːdʒɪkəl/,not happening together,không đồng bộ,1
nonsynthetic,/nɑːnˈsɝːdʒɪkəl/,involving living things,không tổng hợp,1
nontaxable,/nɑːnˈtæksəbəl/,not taxed,không chịu thuế,1
nontechnical,/nɑːnˈtɛknɪkəl/,not being skilled in applied arts,phi kỹ thuật,1
nontelescopic,/nɑːnˈtɛknɪkəl/,not being able to see distance,không kính thiên văn,1
nontelescoping,/nɑːnˈtɛknɪkəl/,not being able to see distance,không kính thiên văn,1
nonterritorial,/nɑːnˈtɛknɪkəl/,not showing attachment,phi lãnh thổ,1
nontoxic,/nɑːnˈtɑːksɪk/,not having a harming substance,không độc hại,1
nontraditional,/ˌnɑːntrəˈdɪʃənəl/,different from what is usual,phi truyền thống,1
nontransferable,/ˌnɑːnˌtrænsˈfɝːəbəl/,not being able to be moved,không thể chuyển nhượng,1
nontranslational,/ˌnɑːnˌtrænsˈfɝːəbəl/,relating to movement,phi biên dịch,1
nontransmissible,/ˌnɑːnˌtrænsˈfɝːəbəl/,not being able to be passed on,không truyền được,1
nonturbulent,/nɔnˈtɝːboʊz/,being calm,không sóng gió,1
nonuniform,/nɔnˈtɝːboʊz/,having different kinds,không đồng nhất,1
nonunion,/nɑːnˈjuːnjən/,not accepting labor unions,không đoàn kết,1
nonunionised,/nɑːnˈjuːnjən/,not being part of a work group,phi công đoàn hóa,1
nonunionized,/nɑːnˈjuːnjəˌnaɪzd/,not being part of a work group,phi công đoàn hóa,1
nonuple,/nɑːnˈjuːnjəˌnaɪzd/,having nine units,có chín đơn vị,1
nonvenomous,/ˌnɑːnjuːˈtɪlɪti/,not making dangerous liquid,không có nọc độc,1
nonverbal,/nɑːnˈvɝːbəl/,not involving or using words,không lời,1
nonviable,/nɑːnˈvɝːbəl/,not being able to live well,không thể sống được,1
nonviolent,/nɑːnˈvaɪələnt/,not using violence,bất bạo động,2
nonviscid,/nɑːnˈvaɪələnt/,not causing to stick,không nhớt,1
nonvisual,/nɑːnˈvaɪələnt/,not resulting in seeing,vô hình,1
nonvolatile,/nɑːnˈvɑːlətəl/,a chemistry term,không bay hơi,1
nonvolatilisable,/nɑːnˈvɑːlətəl/,a science term,không bay hơi,1
nonvolatilizable,/nɑːnˈvɑːlətəl/,a science term,không bay hơi,1
nonvoluntary,/nɑːnˈvɑːlətəl/,not being subject to the will,không tự nguyện,1
nonwashable,/nɑːnˈvoʊtɪŋ/,not being able to clean,không giặt được,1
nonwoody,"/ˈnɑːnˈwaɪts/, /ˈnɑːnˈhwaɪts/",not consisting of wood,không thân gỗ,1
nordic,/ˈnɔrdɪk/,of Nordic countries,bắc âu,1
normative,/ˈnɔrmətɪv/,based on the usual standard,quy chuẩn,3
northbound,/ˈnɔrθbaʊnd/,going or heading north,hướng bắc,1
northeasterly,/ˌnɔrˈθiːstɝli/,blowing from the northeast,hướng đông bắc,1
northeastern,/ˌnɔrˈθiːstɝn/,toward the northeast,đông bắc,2
northerly,/ˈnɔrðɝli/,blowing from the north,phương bắc,1
northernmost,/ˈnɔrðɝnˌmoʊst/,being the farthest north,cực bắc,1
northmost,/ˈnɔrθˌlænd/,being situated farthest north,cực bắc,1
northwesterly,/ˌnɔrθˈwɛstɝli/,located in the northwest,tây bắc,1
northwestern,/ˌnɔrθˈwɛstɝn/,relating to the northwest,tây bắc,2
noseless,/ˈnoʊsɛk/,having no smelling part,không có mũi,1
nosocomial,/ˈnoʊskə/,taking place in a hospital,bệnh viện,1
nosohusial,/ˈnoʊskə/,having home health care,bệnh viện,1
nostalgic,/nɔˈstældʒɪk/,longing for familiar things,hoài niệm,3
nosy,/ˈnoʊzi/,curious about others' lives,tò mò,2
notched,/ˈnɑːtʃt/,having an edge with teeth,khía,1
noteworthy,/ˈnoʊˌtwɝːði/,important enough to be noticed,đáng chú ý,4
noticeable,/ˈnoʊtəsəbəl/,able to be easily seen,đáng chú ý,4
notifiable,/ˈnoʊtɪsɪŋ/,required by law to be reported,đáng chú ý,1
notional,/ˈnoʊʃən/,existing only as an idea,đáng chú ý,4
notorious,/noʊˈtɔriːəs/,famous for something bad,khét tiếng,4
nourished,/ˈnɝːɪʃt/,being given enough food,nuôi dưỡng,1
nourishing,/ˈnɝːɪʃɪŋ/,providing healthy things,bổ dưỡng,2
noxious,/ˈnɑːkʃəs/,harmful to living things,độc hại,2
nth,/ˈɛnθ/,to refer to an unknown number,thứ n,1
nubbly,/ˈnʌb/,having a rough surface,có bề mặt gồ ghề,1
nubby,/ˈnʌb/,having a rough surface,mập mạp,1
nubile,/nˈjuːbiːən/,sexually attractive,tuổi dậy thì,2
nuclear,/ˈnuːkliːɝ/,relating to the nucleus,hạt nhân,5
nucleate,/ˈnuːkliːɝ/,a science term,tạo mầm,1
nucleated,/ˈnuːkliːɝ/,a science term,có nhân,1
nugatory,/ˈnuːgɑːˌtɔri/,being of no real value,vô giá trị,1
null,/ˈnʌl/,having no legal power,vô giá trị,3
nullified,/ˈnʌləˌfaɪd/,having no legal force,vô hiệu hóa,1
numberless,/ˈnʌmbɝɪŋ/,too many to count,vô số,1
numbing,/ˈnʌmɪŋ/,taking away feeling,làm tê liệt,2
numerable,/nuːˈmeɪri/,being able to be counted,đếm được,1
numerate,/ˈnuːmɝəlz/,being able to use numbers,đánh số,1
numeric,/nuːˈmɛrɪk/,of or relating to numbers,con số,3
numerical,"/nuːˈmɛrəkəl/, /nuːˈmɛrɪkəl/",relating to numbers,số,4
numerological,/nuːˈmɛrɪkli/,relating to the power of numbers,số học,1
numinous,/nuːˈmɪdiːə/,having a spiritual quality,rất nhiều,1
nuptial,/ˈnʌptʃəl/,relating to a marriage,đám cưới,2
nurtural,/ˈnɝːsɪŋ/,resulting from being cared for,nuôi dưỡng,1
nurturant,/ˈnɝːsɪŋ/,providing care,chất nuôi dưỡng,1
nutbrown,/ˈnʌts/,having a medium brown color,hạt dẻ,1
nutlike,/ˈnʌtli/,looking like a nut,giống hạt dẻ,1
nutritional,/nuːˈtrɪʃənəl/,relating to food,dinh dưỡng,3
nutritionary,"/nuːˈtrɪʃənəli/, /nuːˈtrɪʃnəli/",relating to food,dinh dưỡng,1
nutritious,/nuːˈtrɪʃəs/,having substances for health,bổ dưỡng,2
nutritive,/ˈnuːtrətɪv/,relating to healthy eating,bổ dưỡng,1
nuts,/ˈnʌts/,crazy,quả hạch,3
nutty,/ˈnʌti/,silly and strange,hạt dẻ,2
nymphomaniacal,/ˌnɪmfoʊˈmeɪniːˌæk/,having an extreme sexual desire,cuồng dâm,1
oafish,/ˈoʊˈeɪˈdiː/,rude and rough behavior,cá oa,1
oaken,/ˈoʊkˌdeɪl/,consisting of a certain wood,gỗ sồi,1
oaten,/ˈoʊt/,relating to a certain grain,yến mạch,1
obdurate,/ˈɑːbdɝət/,refusing to do what is wanted,cứng rắn,1
obedient,/oʊˈbiːdiːənt/,willing to follow,nghe lời,4
obese,"/oʊˈbiːs/, /əˈbiːs/",very fat,béo phì,4
objectionable,/əbˈdʒɛkʃənəbəl/,not good or right,phản cảm,2
oblanceolate,"/ˈɑːblək/, /oʊˈblæk/",a plant term,hình chữ nhật,1
obligated,/ˈɑːbləˌgeɪtɪd/,required by law or principle,bắt buộc,2
obligational,/ˌɑːbləˈgeɪʃən/,relating to a duty,bắt buộc,1
obligatory,/əˈblɪgəˌtɔri/,always included as a part of,bắt buộc,4
obliged,/əˈblaɪdʒd/,very grateful,bắt buộc,4
obliging,/əˈblaɪdʒɪŋ/,willing to help,nghĩa vụ,1
obliterable,/əˈbliːkli/,being able to be destroyed,có thể xóa được,1
obliterated,/əˈblɪtɝˌeɪtɪd/,being reduced to nothing,xóa sổ,2
oblivious,/əˈblɪviːəs/,not aware,quên,3
oblong,/ˈɑːblɔŋ/,longer than it is wide,thuôn dài,1
obnoxious,/ɑːbˈnɑːkʃəs/,not pleasant and annoying,khó ưa,2
obovate,/ˈoʊbən/,a plant term,trứng rụng,1
obscene,"/ɑːbˈsiːn/, /əbˈsiːn/",offensive and shocking,tục tĩu,4
obsequious,/əbˈsiːkwiːəs/,too willing to help,khúm núm,1
observable,/əbˈzɝːvəbəl/,possible to see or notice,quan sát được,3
observant,/əbˈzɝːvənt/,careful to follow a religion,quan sát,4
observational,/ˌɑːbzɝˈveɪʃən/,relying on experiment,quan sát,1
obsessed,/əbˈsɛst/,having extreme concern,bị ám ảnh,3
obsessional,/əbˈsɛʃənəl/,being very extremely focused,ám ảnh,1
obsolescent,/ˌɑːbsəˈlɛsənt/,no longer useful,lỗi thời,1
obsolete,"/ˈɑːbsəˌliːt/, /ˌɑːbsəˈliːt/",no longer used by anyone,lỗi thời,3
obstetric,/əbˈstɛtrɪk/,a medical term,sản khoa,1
obstinate,/ˈɑːbstənət/,difficult to deal with,cố chấp,2
obstreperous,/əbˈstrɛpɝəs/,difficult to control,ngỗ ngáo,1
obstructed,/əbˈstrʌktɪd/,being shut off,bị cản trở,2
obstructive,/əbˈstrʌktɪv/,making trouble to stop a thing,cản trở,1
obtainable,/əbˈteɪnəbəl/,able to be acquired,có thể đạt được,3
obtrusive,/əbˈtruːsɪv/,bothering where not welcome or invited,gây khó chịu,1
obtuse,/ɑːbˈtuːs/,not ending in a sharp point,u mê,2
obviating,/ˈɑːbviːˌeɪtɪŋ/,being made impossible,ngăn cản,1
obvious,/ˈɑːbviːəs/,easy to understand,rõ ràng,5
occasional,/ɔˈkeɪʒənəl/,not happening often,thỉnh thoảng,3
occidental,/ˌɑːksəˈdɛntəl/,relating to a part of the world,ngẫu nhiên,1
occipital,/ɑːkˈsɪpətəl/,a medical term,chẩm,1
occluded,/ɑːkˈsɪpətəl/,taken in and retained,bị tắc,1
occult,/əˈkʌlt/,of magical powers,huyền bí,2
occupational,/ɑːkjəˈpeɪʃənəl/,relating to one's job,nghề nghiệp,3
occurrent,/əˈkɝːənsɪz/,happening now,xảy ra,1
oceangoing,/ˈoʊʃənˌgoʊɪŋ/,made to travel on the ocean,đi biển,1
oceanic,/ˌoʊʃiːˈænɪk/,being like the ocean in degree,đại dương,4
ocellated,/ˈoʊʃənvˌjuː/,a science term,thuật ngữ khoa học,1
ocher,/ɑːtʃɪlˈtriː/,an orange yellow color,đất son,1
octagonal,/ɑːkˈtægənəl/,relating to a shape,hình bát giác,1
octal,/ˌɑːktəˈhiːdrən/,relating to a number system,bát phân,1
octangular,/ˈɑːkteɪn/,relating to a shape,bát giác,1
octosyllabic,/ˈɑːktəˌpʊs/,a language term,bát phân,1
octuple,/ˈɑːktəˌpʊs/,having eight units,con số 10,1
ocular,/ɑːkˈtʌpləts/,relating to the eye,bằng mắt,1
oddish,"/ˈɑːdi/, /ˈoʊdi/",being somewhat strange,kỳ quặc,1
odious,/ˈoʊdiːəs/,causing dislike,ghê tởm,2
odoriferous,/ˈoʊdɝənt/,having a natural smell,thơm,1
odourless,/ˈoʊdɝ/,having no smell,không mùi,1
odorous,/ˈoʊdɝəs/,having a strong smell,thơm,4
oecumenic,/ˈɑːdəsiːz/,concerning religious union,đại kết,1
oecumenical,/ˈɑːdəsiːz/,relating to a world range,đại kết,1
off-street,/ˈɔfˌsaɪd/,not on a public road,ngoài đường,1
offbeat,/ˈɔfˈbiːt/,different from the ordinary,khác thường,2
offenceless,/ˈɔfən/,not being able to attack,vô tội,1
offended,"/əˈfɛndəd/, /əˈfɛndɪd/",having the emotions bothered,bị xúc phạm,3
offending,/əˈfɛndɪŋ/,causing difficulty,xúc phạm,3
offenseless,/əˈfɛns/,not being able to attack,vô tội,1
offhand,/ˈɔfˈhænd/,without previous thought,ngay,1
officious,/əˈfɪsiːoʊ/,telling people what to do,chính thức,1
offish,/ˈɔfɪŋ/,not being nice,đánh cá,1
offshore,/ˈɔfˈʃɔr/,moving away from the shore,ngoài khơi,3
offside,/ˈɔfˈʃɔrd/,an illegal position in a game,việt vị,1
offsides,/ˈɔfˈʃɔrd/,a sports term,việt vị,1
ohmic,/ˈoʊmɝ/,an electricity term,có tính thuần trở,1
oily,/ˈɔɪli/,having a large amount of oil,nhờn,4
olden,/ˈoʊldən/,relating to the distant past,già đi,2
oldish,/ˈoʊldiːz/,being somewhat old,cổ hủ,1
oldline,/ˈoʊldiːz/,sticking to traditional ideas,dòng cũ,1
oleaceous,"/ˈɑːliːə/, /oʊˈliː/",a plant term,có dầu,1
oleaginous,/ˌoʊliːˈædʒənəs/,having oil,có dầu,1
oleophilic,/ˈoʊliːˌoʊ/,attracted to oils,ưa dầu,1
oleophobic,/ˈoʊliːˌoʊ/,lacking a liking of oils,kỵ dầu,1
olfactive,/ˈoʊli/,a medical term,khứu giác,1
olfactory,/oʊlˈfæktɝi/,relating to the sense of smell,khứu giác,2
oligarchic,/ˈoʊlɪˌgɑːrk/,relating to government by a few,đầu sỏ,1
oligarchical,/ˈoʊlɪˌgɑːrk/,relating to government by a few,đầu sỏ,1
olivelike,/ˌɑːlɪˈveɪrə/,looking like a kind of fruit,giống ôliu,1
olympic,/oʊˈlɪmpɪk/,relating to the Olympics,thế vận hội,4
ominous,/ˈɑːmənəs/,suggesting a bad future,đáng ngại,3
omissible,/ˈɑːmənəsli/,being able to leave out,bỏ sót,1
omissive,/oʊˈmɪʃənz/,having things left out,bỏ sót,1
omnidirectional,/ˈɑːmnɪkɑːmz/,not going to one area,đa hướng,1
omnifarious,/ˈɑːmnɪkɑːmz/,relating to all varieties,toàn năng,1
omnipotent,/ɑːmˈnɪpətənt/,having complete power,toàn năng,2
omnipresent,/ˌɑːmnɪˈprɛzənt/,present everywhere,có mặt khắp nơi,1
omniscient,/ɑːmˈnɪʃənt/,knowing everything,toàn tri,1
omnivorous,/ɑːmˈnɪvɝəs/,eating both plants and animals,ăn tạp,1
oncologic,/ɑːŋˈkɑːˌdʒɛniːs/,a science term,ung bướu,1
oncological,/ɑːŋˈkɑːˌdʒɛniːs/,a science term,ung bướu,1
oncoming,/ˈɔnˌkəmɪŋ/,coming closer to you,sắp tới,2
oneiric,/oʊˈniːl/,relating to dreams,độc nhất vô nhị,1
onerous,/ˈoʊnɝəs/,difficult and unpleasant,nặng nề,3
onetime,/ˈwʌnˈtaɪm/,former,một lần,1
ongoing,"/ˈɑːnˌgoʊɪŋ/, /ˈɔnˌgoʊɪŋ/",continuing to exist,đang diễn ra,4
onomastic,/ˌɑːnəˈmæstɪk/,related to a study of names,dị thường,1
onomatopoetic,/ˌɑːnəmætəˈpiːə/,forming by copying a sound,từ tượng thanh,1
onomatopoeical,/ˌɑːnəmætəˈpiːə/,forming by copying a sound,từ tượng thanh,1
onshore,/ˈɑːnˌʃɔr/,moving towards the land,trên bờ,1
ontogenetic,"/ˈɑːntuː/, /ˈɔntuː/",a science term,phát sinh bản thể,1
